2024-10-13 09:57:33:3183 info: Database connected successfully! 
2024-10-13 09:57:33:7948 debug: EmployeeService:constructor 
2024-10-13 09:57:51:0010 http: [2024-10-13T14:57:51.000Z] ::ffff:127.0.0.1 "GET /api/v1/employee?page=1&limit=10&filter.documentNumber=%24sw%3A1045418932 HTTP/1.1" 200 10562 "-" "insomnia/2023.5.8" {} 237.131 ms
 
2024-10-13 09:59:44:0751 http: [2024-10-13T14:59:44.074Z] ::1 "GET /api/v1/employee HTTP/1.1" 200 - "-" "node" {} 237.015 ms
 
2024-10-13 09:59:48:3133 http: [2024-10-13T14:59:48.313Z] ::1 "GET /api/v1/employee?page=1&limit=10&sortBy= HTTP/1.1" 200 - "http://localhost:3000/employee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" {} 94.300 ms
 
2024-10-13 09:59:58:8208 http: [2024-10-13T14:59:58.820Z] ::1 "GET /api/v1/employee?page=1&limit=10&sortBy= HTTP/1.1" 200 - "http://localhost:3000/employee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" {} 266.104 ms
 
2024-10-13 09:59:59:1221 http: [2024-10-13T14:59:59.122Z] ::1 "GET /api/v1/employee?page=1&limit=10&filter.documentNumber=%24sw%3A9&sortBy= HTTP/1.1" 200 - "http://localhost:3000/employee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" {} 100.124 ms
 
2024-10-13 09:59:59:3333 http: [2024-10-13T14:59:59.333Z] ::1 "GET /api/v1/employee?page=1&limit=10&filter.documentNumber=%24sw%3A9&sortBy= HTTP/1.1" 200 - "http://localhost:3000/employee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" {} 287.755 ms
 
2024-10-13 09:59:59:5796 http: [2024-10-13T14:59:59.579Z] ::1 "GET /api/v1/employee?page=1&limit=10&filter.documentNumber=%24sw%3A98&sortBy= HTTP/1.1" 200 - "http://localhost:3000/employee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" {} 66.727 ms
 
2024-10-13 10:00:01:8118 http: [2024-10-13T15:00:01.811Z] ::1 "GET /api/v1/employee?page=1&limit=10&filter.documentNumber=%24sw%3A98&sortBy= HTTP/1.1" 200 - "http://localhost:3000/employee" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" {} 90.517 ms
 
